STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2041,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2042,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2043,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2044,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2045,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2046,,27,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2047,,28,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2048,,28,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2049,,28,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2050,,28,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2025,,24,,PERCENT,percent,,,E,Estimated value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2026,,23,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2027,,22,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2028,,21,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2029,,20,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2030,,19,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2031,,18,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,CK,Cook Islands,POPCHILD,Proportion of children (<14),_T,Total,2032,,17,,PERCENT,percent,,,F,Forecasted value,,,,
